Mixture	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM858102	0.0365323220161151	0	0.0429460450967596	0.187539531471457	0	0.0232858710110275	0	0.105081912504987	0	0.0366991729157063	0	0	0.0150696266692436	0.140905272541503	0.0184754529499367	0.15364448106239	0.0291980000541302	0.0383942847143952	0	0.077292002509432	0.00726576229023913	0.0876702621926778	0.0649999999999999	0.158502704120393	1.02589382765016
GSM858103	0.0219440036068945	0.0021030244029594	0.00379907187907641	0.0969113038736673	0	0	0	0.030440325873881	0.105418351928047	0	0	0.0299677851250176	0	0.353443431334203	0.0893038314416239	0.169919555323083	0.0146809885786492	0	0	0.0820683266328979	0	0	0.055	0.162730455104427	1.06064280747044
GSM858104	0.0470707029425966	0	0	0.275923947909276	0	0	0.0232157368248396	0	0.0226300438099937	0.000176598080572271	0	0.0365777300096937	0	0	0.0618312516456131	0.32514004043757	0.0436549051784353	0	0.159673093836078	0	0	0.00410594932533162	0.053	0.169741095356013	1.02128947887551
GSM858105	0.0280169446521512	0	0.0417840233216702	0.291212769627971	0	0	0.132828650062402	0.0346073269675329	0.0142510850654664	0.0561068176615349	0.00732545259522716	0	0	0.0436011400243203	0.0954916612976887	0.109982345961406	0.0769635498223354	0.0215895826467245	0.045074772654528	0	0	0.00116387763904063	0.001	0.458381699824878	0.887897086831175
GSM858106	0.0685865693670268	0	0	0.113770271436967	0	0.0902209199130902	0.0296787999664087	0.0694577490667	0	0.0677794940263809	0	0.0542552117438294	0	0.0554017087315223	0.20218379346097	0.118178601164392	0.0134010166485768	0	0.0780922177655848	0	0.00560345707905185	0.0333901896294989	0	0.607445731447824	0.800323149353357
GSM858107	0.102348443464428	0.049137984478993	0	0.102778194064619	0	0.0611284064381263	0.0273893829182495	0.0305945281885691	0.0397046787423482	0.0615231635753731	0	0	0	0.0563286136449667	0.0956403582199893	0.100364934310835	0.0320323449184751	0.034236680698854	0.0634908221456015	0	0.0517244348337705	0.0915770293568007	0	0.618345410863181	0.810624451033053
GSM858108	0.0286323038415505	0.0161322002298674	0.0228945090145736	0.0381165462321336	0	0.0835487933179958	0	0.0584259384850166	0.0785333099714084	0	0.102565169459748	0	0	0.161858513953304	0.0351104943325875	0	0	0.0575160763859321	0	0.292996901000479	0	0.0236692437754035	0.072	0.150566413936696	1.06130116811786
GSM858109	0.0177696217522869	0	0.00651336185549086	0	0	0.190019416498126	0.0605304727392574	0.00808951640949733	0	0.00427252834532723	0.0476115675330412	0	0.0147965639166797	0.197428852823875	0.0337152309575999	0.059636802799753	0	0.0509959610918527	0	0.191023040001912	0.020195090683741	0.0974019725915604	0.003	0.360858001608611	0.941743220230225
GSM858110	0.113767683480877	0	0.0785636587939925	0.224639376640528	0	0.106431713248814	0.048802798064381	0.0675337992290126	0.0238839664626718	0.0207734268866967	0	0.0105552610316446	0	0	0.0549805398109059	0.0858467703808186	0	0	0.1626631982633	0.0015578077063578	0	0	0	0.462377453702678	0.886580926622694
GSM858111	0.0264950559769866	0	0.114345769833789	0.106281615462264	0.0141839114940137	0	0.103701449178812	0.0118204693641424	0	0.0686798269311671	0.00597847647669078	0	0	0.132340032474813	0.159485463146077	0.118274371876477	0.0413818959204109	0.0162256776276102	0.0798863041270741	0	0	0.000919680109671216	0	0.617708577028496	0.806200304371502
GSM858112	0.067875714550323	0	0.0545193312242853	0.25739801183306	0	0	0.0644363463214822	0.067869670161229	0.0505556923113142	0	0	0.0264854329004657	0	0.0652332480552714	0.129554139922388	0.084199975842839	0.0137006510005062	0.0615618320295577	0.0180282597491757	0.0122517803026622	0	0.0263299137954407	0.034	0.192425742471815	1.01616931441198
